"new.ID","treat1","cum.emis.mn","e.rel.150.n"
"D1","F","0.493  ±  0.0359",3
"D1","E","0.519  ±  0.0318",3
"D1","A","0.366  ±  0.00857",3
"D1","B","0.531  ±  0.0088",3
"D1","D","0.414  ±  0.0397",3
"D2","C","0.352  ±  0.0219",3
"D2","A","0.411  ±  0.0402",3
"D2","G","0.471  ±  0.0405",3
"D2","I","0.432  ±  0.033",3
"D2","H","0.494  ±  0.0248",3
"D3","Cattle A","0.208  ±  0.0853",3
"D3","D","0.34  ±  0.014",3
"D3","H","0.334  ±  0.0489",3
"D3","Pig A","0.243  ±  0.00682",3
"D3","A","0.273  ±  0.00919",3
"D4","A","0.374  ±  0.0218",3
"D4","G","0.375  ±  0.0198",3
"D4","Cattle B","0.235  ±  0.0037",3
"D4","C","0.493  ±  0.0466",3
"D4","Pig B","0.0521  ±  0.0185",3
"D5","E","0.378  ±  0.0387",3
"D5","B","0.429  ±  0.0386",3
"D5","A","0.31  ±  0.0151",3
"D5","Cattle C","0.319  ±  0.0364",3
"D5","Pig C","0.0532  ±  0.0128",3
